"scenario","gamma","omega","method","method_label","step","metric","n","mean","sd","se","ci_low","ci_high","method_label_paper","total_evaluated"
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",14,"standardized_regret",30,0.602845845240288,0.298839867901913,0.0545604455772472,0.491257204657734,0.714434485822842,"Hamming",34
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",15,"standardized_regret",30,0.569454899107133,0.282192232334845,0.051521017067511,0.464082587807834,0.674827210406431,"Hamming",35
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",16,"standardized_regret",30,0.551445105879246,0.286338822763655,0.0522780774390426,0.444524432267207,0.658365779491285,"Hamming",36
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",17,"standardized_regret",30,0.527157542728407,0.271659524262179,0.0495980164665058,0.425718209260123,0.62859687619669,"Hamming",37
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",18,"standardized_regret",30,0.52104933008751,0.267967759540591,0.0489239955281672,0.420988524221735,0.621110135953286,"Hamming",38
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",19,"standardized_regret",30,0.514655208173291,0.268143948010038,0.0489561629945302,0.414528612451797,0.614781803894784,"Hamming",39
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",20,"standardized_regret",30,0.498225306650655,0.274146927014108,0.0500521519987832,0.395857161730212,0.600593451571098,"Hamming",40
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",21,"standardized_regret",30,0.494671742285791,0.274520640135426,0.0501203823676437,0.392164050592461,0.597179433979121,"Hamming",41
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",22,"standardized_regret",30,0.48314921176904,0.273051223060158,0.0498521047414744,0.381190209429072,0.585108214109008,"Hamming",42
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",23,"standardized_regret",30,0.476336129746222,0.274670780067461,0.0501477940434963,0.373772374880897,0.578899884611546,"Hamming",43
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",24,"standardized_regret",30,0.470991371060778,0.266021681031566,0.0485686918288109,0.371657242852886,0.570325499268671,"Hamming",44
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",25,"standardized_regret",30,0.465121351868985,0.271478184264634,0.0495649084640947,0.363749731868624,0.566492971869345,"Hamming",45
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",26,"standardized_regret",30,0.463723513859954,0.268105621318507,0.0489491655300281,0.363611229560281,0.563835798159628,"Hamming",46
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",27,"standardized_regret",30,0.454798545807755,0.264437148594364,0.0482793971091595,0.356056091735806,0.553540999879704,"Hamming",47
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",28,"standardized_regret",30,0.445971523380412,0.258925322169234,0.0472730798871273,0.349287219120352,0.542655827640472,"Hamming",48
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",29,"standardized_regret",30,0.438155545142898,0.265056871803293,0.0483925425694728,0.339181682621643,0.537129407664152,"Hamming",49
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",30,"standardized_regret",30,0.424618967401714,0.275610426673278,0.050319349257526,0.321704342727393,0.527533592076034,"Hamming",50
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",31,"standardized_regret",30,0.414533853568975,0.27655416131908,0.0504916508421276,0.311266832586441,0.517800874551509,"Hamming",51
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",32,"standardized_regret",30,0.413828244658437,0.275175125393916,0.0502398744808535,0.31107616415317,0.516580325163705,"Hamming",52
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",33,"standardized_regret",30,0.405793017039849,0.265255500121931,0.048428806973032,0.306744985485481,0.504841048594217,"Hamming",53
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",34,"standardized_regret",30,0.391407308052635,0.25322772954464,0.0462328465524723,0.296850519843346,0.485964096261924,"Hamming",54
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",35,"standardized_regret",30,0.384197842940572,0.254093198379925,0.04639085882044,0.289317883357015,0.479077802524129,"Hamming",55
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",36,"standardized_regret",30,0.381949212086493,0.25543060706689,0.0466350351225914,0.286569855891869,0.477328568281117,"Hamming",56
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",37,"standardized_regret",30,0.377893198727439,0.255789392390577,0.0467005400609531,0.282379869891172,0.473406527563706,"Hamming",57
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",38,"standardized_regret",30,0.358351575141588,0.234747969168246,0.0428589193473252,0.270695242862663,0.446007907420512,"Hamming",58
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",39,"standardized_regret",30,0.356006895093379,0.228892839823352,0.0417899238742223,0.270536904043351,0.441476886143408,"Hamming",59
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",40,"standardized_regret",30,0.354183465246769,0.229779618177381,0.0419518267102252,0.268382345717401,0.439984584776136,"Hamming",60
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",0,"standardized_regret",30,1.51200333424848,0.3896819961287,0.0711458731777767,1.36649368550987,1.65751298298708,"L2",20
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",1,"standardized_regret",30,1.23944774546928,0.471766531726688,0.0861323904342279,1.06328722740545,1.41560826353311,"L2",21
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",2,"standardized_regret",30,1.06034828041381,0.48836301478541,0.0891624798163994,0.877990533727249,1.24270602710037,"L2",22
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",3,"standardized_regret",30,0.952148905446387,0.45105315886982,0.0823506632489872,0.78372288792027,1.1205749229725,"L2",23
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",4,"standardized_regret",30,0.900760856864727,0.453244492441034,0.0827507441916448,0.731516581935434,1.07000513179402,"L2",24
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",5,"standardized_regret",30,0.82043968789226,0.440308347995132,0.0803889381515894,0.656025848685057,0.984853527099463,"L2",25
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",6,"standardized_regret",30,0.740506208072422,0.395164873668976,0.0721469050807259,0.592949219213187,0.888063196931657,"L2",26
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",7,"standardized_regret",30,0.709443593811198,0.381934541434462,0.0697313879446821,0.566826892199679,0.852060295422717,"L2",27
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",8,"standardized_regret",30,0.66691537769038,0.379317108382036,0.0692535122361576,0.525276041643191,0.80855471373757,"L2",28
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",9,"standardized_regret",30,0.641014909917553,0.370863326157187,0.067710069829229,0.502532268031939,0.779497551803167,"L2",29
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",10,"standardized_regret",30,0.613973188262225,0.345981852580454,0.0631673550485805,0.484781441301747,0.743164935222703,"L2",30
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",11,"standardized_regret",30,0.598355162735676,0.337237610394572,0.0615708821507487,0.472428569468706,0.724281756002647,"L2",31
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",12,"standardized_regret",30,0.571194296271043,0.324238441955382,0.0591975695564307,0.450121672272019,0.692266920270068,"L2",32
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",13,"standardized_regret",30,0.552208859255019,0.308446723510379,0.056314409418398,0.437032959833315,0.667384758676724,"L2",33
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",14,"standardized_regret",30,0.536170893130757,0.305558573310704,0.0557871077471229,0.42207344671749,0.650268339544024,"L2",34
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",15,"standardized_regret",30,0.5062901466967,0.257924598623556,0.0470903736005291,0.409979518749795,0.602600774643606,"L2",35
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",16,"standardized_regret",30,0.501174086540756,0.25523191960096,0.0465987599202635,0.405868921465207,0.596479251616304,"L2",36
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",17,"standardized_regret",30,0.480178215478846,0.259392183229276,0.0473583166650625,0.383319582433953,0.577036848523739,"L2",37
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",18,"standardized_regret",30,0.473399167985561,0.253214455651995,0.0462304230823298,0.378847336329244,0.567950999641877,"L2",38
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",19,"standardized_regret",30,0.471497757855179,0.251177465860927,0.0458585213296712,0.377706550687361,0.565288965022998,"L2",39
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",20,"standardized_regret",30,0.471497757855179,0.251177465860927,0.0458585213296712,0.377706550687361,0.565288965022998,"L2",40
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",21,"standardized_regret",30,0.454279471427908,0.238613290538387,0.0435646272494696,0.365179804428831,0.543379138426986,"L2",41
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",22,"standardized_regret",30,0.44253375069628,0.233402957033017,0.0426133548517974,0.355379654202665,0.529687847189896,"L2",42
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",23,"standardized_regret",30,0.438387519491906,0.224863553292895,0.0410542801664278,0.354422088759107,0.522352950224704,"L2",43
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",24,"standardized_regret",30,0.421530832320988,0.22499411845488,0.0410781179945758,0.337516647755457,0.505545016886519,"L2",44
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",25,"standardized_regret",30,0.39942975054774,0.23573124288087,0.0430384397448606,0.311406257830409,0.487453243265071,"L2",45
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",26,"standardized_regret",30,0.39382291695178,0.240611138640907,0.0439293827402092,0.303977241210912,0.483668592692649,"L2",46
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",27,"standardized_regret",30,0.391134842350191,0.237726325769981,0.0434026903790135,0.302366373438725,0.479903311261657,"L2",47
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",28,"standardized_regret",30,0.383904042395114,0.238393452098633,0.0435244904253163,0.294886464418537,0.472921620371692,"L2",48
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",29,"standardized_regret",30,0.368688882047974,0.238466192942477,0.0435377710256579,0.279644142193912,0.457733621902036,"L2",49
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",30,"standardized_regret",30,0.357686351918964,0.233165920512359,0.0425700781020251,0.270620766316798,0.44475193752113,"L2",50
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",31,"standardized_regret",30,0.355363415406694,0.23566875672901,0.0430270313865587,0.26736325540193,0.443363575411458,"L2",51
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",32,"standardized_regret",30,0.354906018633451,0.235374805500365,0.0429733634803137,0.26701562182137,0.442796415445532,"L2",52
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",33,"standardized_regret",30,0.351569313030549,0.232907626943147,0.0425229203639199,0.264600175832212,0.438538450228886,"L2",53
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",34,"standardized_regret",30,0.351569313030549,0.232907626943147,0.0425229203639199,0.264600175832212,0.438538450228886,"L2",54
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",35,"standardized_regret",30,0.351248536428008,0.232775194563833,0.0424987416300884,0.264328850292813,0.438168222563204,"L2",55
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",36,"standardized_regret",30,0.334521638555867,0.231777030725653,0.0423165026800027,0.247974672923338,0.421068604188397,"L2",56
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",37,"standardized_regret",30,0.323068866592745,0.23162081171843,0.042287981121947,0.23658023409619,0.409557499089299,"L2",57
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",38,"standardized_regret",30,0.304425860184256,0.230476429606668,0.0420790464896079,0.21836454699103,0.390487173377482,"L2",58
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",39,"standardized_regret",30,0.292559011253468,0.231500934199785,0.0422660945815805,0.206115141758036,0.379002880748901,"L2",59
"g100_w050",1,0.5,"unrestricted_position_l2","Unrestricted position-L2 maximin",40,"standardized_regret",30,0.280670949111285,0.213098267481382,0.0389062426882743,0.201098748301217,0.360243149921352,"L2",60
"g100_w050",1,0.5,"srs","SRS",0,"standardized_regret",30,1.58888402690321,0.531791180736835,0.0970913418572904,1.39030993654224,1.78745811726418,"SRS",20
"g100_w050",1,0.5,"srs","SRS",1,"standardized_regret",30,1.35692210406372,0.488228643054004,0.0891379470069387,1.17461453260627,1.53922967552116,"SRS",21
"g100_w050",1,0.5,"srs","SRS",2,"standardized_regret",30,1.22854760359585,0.49633058166427,0.0906171518523936,1.0432147185417,1.41388048865001,"SRS",22
"g100_w050",1,0.5,"srs","SRS",3,"standardized_regret",30,1.11360770574416,0.512623090856846,0.0935917434534383,0.92219109777431,1.30502431371401,"SRS",23
"g100_w050",1,0.5,"srs","SRS",4,"standardized_regret",30,0.998899801284418,0.499857181814907,0.0912610180036619,0.812250062092123,1.18554954047671,"SRS",24
"g100_w050",1,0.5,"srs","SRS",5,"standardized_regret",30,0.917792386793109,0.398963832174656,0.0728404968369215,0.768816843514564,1.06676793007165,"SRS",25
"g100_w050",1,0.5,"srs","SRS",6,"standardized_regret",30,0.874439889654857,0.410271972387312,0.0749050713295558,0.721241817425585,1.02763796188413,"SRS",26
"g100_w050",1,0.5,"srs","SRS",7,"standardized_regret",30,0.798919163817167,0.445974292035207,0.0814233932716931,0.632389626334872,0.965448701299462,"SRS",27
"g100_w050",1,0.5,"srs","SRS",8,"standardized_regret",30,0.7859349625985,0.446124240433169,0.0814507699783683,0.619349433464208,0.952520491732791,"SRS",28
"g100_w050",1,0.5,"srs","SRS",9,"standardized_regret",30,0.758014834907468,0.435899039869809,0.0795839123105128,0.595247458413118,0.920782211401819,"SRS",29
"g100_w050",1,0.5,"srs","SRS",10,"standardized_regret",30,0.744195126652237,0.446046098812091,0.0814365033355202,0.577638776078793,0.910751477225682,"SRS",30
"g100_w050",1,0.5,"srs","SRS",11,"standardized_regret",30,0.678609244693886,0.405643604405106,0.0740600508134595,0.527139433472345,0.830079055915428,"SRS",31
"g100_w050",1,0.5,"srs","SRS",12,"standardized_regret",30,0.664925735716824,0.388146977186976,0.07086561834425,0.5199892724711,0.809862198962547,"SRS",32
"g100_w050",1,0.5,"srs","SRS",13,"standardized_regret",30,0.592584553966898,0.342017167655462,0.0624435059263076,0.464873244687725,0.720295863246072,"SRS",33
"g100_w050",1,0.5,"srs","SRS",14,"standardized_regret",30,0.563973147067148,0.326484827419053,0.0596077015535322,0.442061708950464,0.685884585183832,"SRS",34
"g100_w050",1,0.5,"srs","SRS",15,"standardized_regret",30,0.563019413469559,0.32598811514772,0.0595170147149992,0.441293450763195,0.684745376175924,"SRS",35
"g100_w050",1,0.5,"srs","SRS",16,"standardized_regret",30,0.542006876335926,0.317727890659614,0.0580089109542686,0.423365332144419,0.660648420527432,"SRS",36
"g100_w050",1,0.5,"srs","SRS",17,"standardized_regret",30,0.521410661108604,0.316271535964847,0.0577430181815844,0.40331292869742,0.639508393519788,"SRS",37
"g100_w050",1,0.5,"srs","SRS",18,"standardized_regret",30,0.504046733505348,0.308365790877098,0.0562996332087691,0.388901054825575,0.619192412185121,"SRS",38
