"entry_id","method","design_seed_id","stochastic","m","n","design_sha256","initial_design_sha256","initial_seed","move_seed","initial_rank_retry","design_rank_retry","target_lambda","target_geometry","strict_foldover","phi_valid","A","B","Phi","kendall_min","kendall_mean_sq","hamming_min","hamming_mean_sq","position_l2_min","position_l2_mean_sq","pwo_rank","pwo_columns","n_obj_eval","total_obj_eval_including_rank_retries","budget_exhausted","inference_role"
"seed05__SRS","SRS",5,TRUE,4,12,"256de6977dd74f299307f9065a07d96264e1a5769c45fc48ab8b4365d5bb5524","256de6977dd74f299307f9065a07d96264e1a5769c45fc48ab8b4365d5bb5524",1623831664,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,12.0454545454545,2,10.6818181818182,1.4142135623731,10.6363636363636,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed06__Exact_Phi_lambda050","Exact_Phi_lambda050",6,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed06__Unrestricted_Hamming","Unrestricted_Hamming",6,TRUE,4,12,"fd80e826d7c3b4b35f7a3bac5716b4a377b5da5cfccaaa943dcaed761f2febd7","baf0a25f30c9aaa0bd9ea0fa8d75f07672a69a746c4f44c373e47dc116c74b31",849128217,192175159,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,13.030303030303,2,11.3939393939394,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed06__Unrestricted_Position_L2","Unrestricted_Position_L2",6,TRUE,4,12,"33f92201f192b0a2238e541e200625b3b424a472bdaddfada520fc9881912335","baf0a25f30c9aaa0bd9ea0fa8d75f07672a69a746c4f44c373e47dc116c74b31",849128217,192175159,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.6666666666667,2,9.45454545454546,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed06__OofA_OA","OofA_OA",6,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed06__SRS","SRS",6,TRUE,4,12,"baf0a25f30c9aaa0bd9ea0fa8d75f07672a69a746c4f44c373e47dc116c74b31","baf0a25f30c9aaa0bd9ea0fa8d75f07672a69a746c4f44c373e47dc116c74b31",849128217,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,12.3636363636364,2,10.2121212121212,1.4142135623731,10.7878787878788,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed07__Exact_Phi_lambda050","Exact_Phi_lambda050",7,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed07__Unrestricted_Hamming","Unrestricted_Hamming",7,TRUE,4,12,"6e54bba83c2f4f92e734cf0a32d71c002b5fdf8005aa4bc338605d27d5d1ae12","0aa28d1be013e59d60d6573eb24d63988455c4477a4cbb20c9c74f14ea95bbd0",74424770,105824469,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.1666666666667,2,11.3030303030303,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed07__Unrestricted_Position_L2","Unrestricted_Position_L2",7,TRUE,4,12,"56969635a768d577c74442489028c948fe2dc8ea729f1750368f7ad79aefd67d","0aa28d1be013e59d60d6573eb24d63988455c4477a4cbb20c9c74f14ea95bbd0",74424770,105824469,0,0,NA,"l2_position",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed07__OofA_OA","OofA_OA",7,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed07__SRS","SRS",7,TRUE,4,12,"0aa28d1be013e59d60d6573eb24d63988455c4477a4cbb20c9c74f14ea95bbd0","0aa28d1be013e59d60d6573eb24d63988455c4477a4cbb20c9c74f14ea95bbd0",74424770,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,10.8484848484848,2,10.3939393939394,1.4142135623731,9.87878787878788,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed08__Exact_Phi_lambda050","Exact_Phi_lambda050",8,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed08__Unrestricted_Hamming","Unrestricted_Hamming",8,TRUE,4,12,"ee201e5477bbf2182f05c2719c0fa18a39b3927b5f2378b5e91d807795cf70e8","04ac31f3021ee4ed323cdadc3bc9190e196f4da018bdebfe1dc9c3334c764733",1447204952,19473779,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.3030303030303,2,11.3939393939394,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed08__Unrestricted_Position_L2","Unrestricted_Position_L2",8,TRUE,4,12,"790d27b0ce070809ef7f4b12d94d6d7b893e5ee082daece7b47d8bd0d38b31c5","04ac31f3021ee4ed323cdadc3bc9190e196f4da018bdebfe1dc9c3334c764733",1447204952,19473779,0,0,NA,"l2_position",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed08__OofA_OA","OofA_OA",8,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed08__SRS","SRS",8,TRUE,4,12,"04ac31f3021ee4ed323cdadc3bc9190e196f4da018bdebfe1dc9c3334c764733","04ac31f3021ee4ed323cdadc3bc9190e196f4da018bdebfe1dc9c3334c764733",1447204952,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,11.6818181818182,2,10.6515151515152,1.4142135623731,10.6363636363636,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed09__Exact_Phi_lambda050","Exact_Phi_lambda050",9,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
