"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",5,25,0.3,1,2039895998,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda030_rep01.rds",0.746553903345725,6000,0.0460000000000003,2,5.2,30.9133333333333,0.25,0.959362719065321,0.746553903345725,5,30.3819444444444,43.4583333333333
"distance",10,50,0.3,1,1922722594,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda030_rep01.rds",0.806751667040788,6000,0.198000000000001,10,22.9591836734694,562.234285714286,0.428571428571429,0.968828912099085,0.806751667040788,22,548.469387755102,990.061224489796
"distance",20,100,0.3,1,636889402,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda030_rep01.rds",0.854806710620707,6000,1.011,54,95.959595959596,9534.09212121212,0.563829787234043,0.979511106357849,0.854806710620707,95,9356.06060606061,18045.2323232323
"distance",5,5,0.4,1,776752660,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda040_rep01.rds",0.783628509719222,6000,0.0120000000000005,4,6,40.2,0.75,0.806047516198704,0.783628509719222,5,36.4583333333333,55.75
"distance",10,10,0.4,1,329132134,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda040_rep01.rds",0.843375560319626,6000,0.032,19,25,678.244444444444,0.857142857142857,0.834197362437472,0.843375560319626,22,597.222222222222,1085.88888888889
"distance",20,20,0.4,1,2057896903,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda040_rep01.rds",0.850233328016695,6000,0.126999999999999,73,100,10598.8842105263,0.765957446808511,0.906417248822151,0.850233328016695,95,9750,18820.9473684211
"distance",5,10,0.4,1,2052523199,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n010_lambda040_rep01.rds",0.828117359413203,6000,0.0209999999999999,4,5.55555555555556,34.2222222222222,0.75,0.880195599022005,0.828117359413203,5,32.4074074074074,47.5555555555556
"distance",10,20,0.4,1,190663132,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda040_rep01.rds",0.818545398866942,6000,0.0690000000000008,15,23.6842105263158,602.547368421053,0.666666666666667,0.919797887000459,0.818545398866942,22,565.789473684211,1024.10526315789
"distance",20,40,0.4,1,1780958899,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda040_rep01.rds",0.843703293578314,6000,0.279,65,97.4358974358974,9921.37948717949,0.680851063829787,0.952271446743998,0.843703293578314,95,9500,18328.6666666667
"distance",5,15,0.4,1,30898532,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda040_rep01.rds",0.677595907928389,6000,0.0309999999999988,2,5.33333333333333,31.7714285714286,0.25,0.962659846547315,0.677595907928389,5,31.25,45.2142857142857
"distance",10,30,0.4,1,52194130,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda040_rep01.rds",0.794999451309176,6000,0.106999999999999,13,23.2758620689655,581.151724137931,0.571428571428571,0.944046704562913,0.794999451309176,22,556.034482758621,1004.93103448276
"distance",20,60,0.4,1,1504020895,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda040_rep01.rds",0.826839656045512,6000,0.494999999999999,59,96.6101694915254,9710.72542372881,0.617021276595745,0.966718575678691,0.826839656045512,95,9419.49152542373,18170.1355932203
